slug,title,date,category,season,migration_status,draft,evergreen,archive,source_tweet_ids,source_urls,image
no-somos-un-club-que-juega-al-futbol-somos-una-idea-que-compite,No somos un club que juega al fútbol; somos una idea que compite,2026-06-01,Identidad,,canonical-existing,False,True,,,,/images/articles/no-somos-un-club-que-juega-al-futbol-somos-una-idea-que-compite/legacy.jpg
nueve-total,Nueve Total,2026-06-18,Perfiles,2026-2027,canonical-existing,False,True,,2067699873416155181,https://x.com/ScarFace2824/status/2067699873416155181,/images/articles/nueve-total/legacy-1.jpg
last-dance,Last Dance,2026-06-18,Identidad,2026-2027,canonical-existing,False,True,,2067699994530808090,https://x.com/ScarFace2824/status/2067699994530808090,/images/articles/last-dance/legacy-1.jpg
el-central-de-flick,El Central de Flick,2026-06-18,Perfiles,2026-2027,canonical-existing,False,True,,2067699035863925211,https://x.com/ScarFace2824/status/2067699035863925211,/images/articles/el-central-de-flick/legacy-1.jpg
elevar-el-juego,Elevar el Juego,2026-06-18,Perfiles,2026-2027,canonical-existing,False,True,,2067698914434732300,https://x.com/ScarFace2824/status/2067698914434732300,/images/articles/elevar-el-juego/legacy-1.jpg
red-flag,Red Flag,2026-06-18,Perfiles,2026-2027,canonical-existing,False,False,mercado-2026-27,2067699687574925517,https://x.com/ScarFace2824/status/2067699687574925517,/images/articles/red-flag/legacy-1.jpg
ataque-del-futuro,Ataque del Futuro,2026-06-18,Táctica,2026-2027,canonical-existing,False,True,,2067700394826862612,https://x.com/ScarFace2824/status/2067700394826862612,/images/articles/ataque-del-futuro/legacy-1.jpg
el-sueno-de-musiala,El sueño de Musiala,2026-06-18,Planificación,2029-2030,canonical-existing,False,True,,2067698386392760567,https://x.com/ScarFace2824/status/2067698386392760567,/images/articles/el-sueno-de-musiala/legacy-1.jpg
oxigeno-pedri,Oxígeno Pedri,2026-06-18,Perfiles,2027-2028,canonical-existing,False,True,,2067698560020160704,https://x.com/ScarFace2824/status/2067698560020160704,/images/articles/oxigeno-pedri/legacy-1.jpg
lateral-derecho,Lateral Derecho,2026-06-18,Perfiles,2026-2027,canonical-existing,False,False,mercado-2026-27,2067698665087463542,https://x.com/ScarFace2824/status/2067698665087463542,/images/articles/lateral-derecho/legacy-1.jpg
el-nuevo-raphinha,El nuevo Raphinha,2026-06-22,Perfiles,2026-2027,canonical-existing,False,True,,2069180481732567173,https://x.com/ScarFace2824/status/2069180481732567173,/images/articles/el-nuevo-raphinha/legacy-1.jpg
segundo-portero,Segundo Portero,2026-06-22,Perfiles,2026-2027,canonical-existing,False,False,mercado-2026-27,2069180671390597321,https://x.com/ScarFace2824/status/2069180671390597321,/images/articles/segundo-portero/legacy-1.jpg
pieza-clave,Pieza Clave,2026-06-22,Construcción de plantilla,2026-2027,canonical-existing,False,True,,2069180856699138520,https://x.com/ScarFace2824/status/2069180856699138520,/images/articles/pieza-clave/legacy-1.jpg
tercer-central,Tercer Central,2026-06-22,Construcción de plantilla,2026-2027,canonical-existing,False,False,mercado-2026-27,2069181035540083019,https://x.com/ScarFace2824/status/2069181035540083019,/images/articles/tercer-central/legacy-1.jpg
el-quinto-medio,El quinto Medio,2026-06-22,Cantera,2026-2027,canonical-existing,False,True,,2069181471093403827,https://x.com/ScarFace2824/status/2069181471093403827,/images/articles/el-quinto-medio/legacy-1.jpg
no-hay-vuelta-atras,No hay vuelta atrás,2026-06-22,Perfiles,2026-2027,canonical-existing,False,False,mercado-2026-27,2069182326580359464,https://x.com/ScarFace2824/status/2069182326580359464,/images/articles/no-hay-vuelta-atras/legacy-1.jpg
perfil-faltante,Perfil Faltante,2026-06-23,Perfiles,2026-2027,canonical-existing,False,True,,2069351740755910905,https://x.com/ScarFace2824/status/2069351740755910905,/images/articles/perfil-faltante/legacy-1.jpg
el-tapado,El Tapado,2026-06-23,Perfiles,2026-2027,canonical-existing,False,True,,2069419089412436402,https://x.com/ScarFace2824/status/2069419089412436402,/images/articles/el-tapado/legacy-1.jpg
la-sorpresa,La Sorpresa,2026-07-01,Perfiles,2026-2027,canonical-existing,False,False,mercado-2026-27,2072420274947981768,https://x.com/ScarFace2824/status/2072420274947981768,/images/articles/la-sorpresa/legacy-1.jpg
tomar-riesgos,Tomar Riesgos,2026-07-26,Construcción de plantilla,2026-2027,canonical-existing,False,False,mercado-2026-27,2081417038136758516,https://x.com/ScarFace2824/status/2081417038136758516,/images/articles/tomar-riesgos/legacy-1.jpg
cerrar-mercado,Cerrar Mercado,2026-07-27,Construcción de plantilla,2026-2027,canonical-existing,False,False,mercado-2026-27,2081751357866803634,https://x.com/ScarFace2824/status/2081751357866803634,/images/articles/cerrar-mercado/legacy-1.jpg
solucion-en-casa,Solución en casa,2026-07-28,Cantera,2026-2027,canonical-existing,False,True,,2082166778239549609,https://x.com/ScarFace2824/status/2082166778239549609,/images/articles/solucion-en-casa/legacy-1.jpg
one-shot,One Shot,2026-08-17,Construcción de plantilla,2026-2027,canonical-existing,False,False,mercado-2026-27,2089470096485843197,https://x.com/ScarFace2824/status/2089470096485843197,/images/articles/one-shot/legacy-1.jpg
cerrar-el-mercado,Cerrar el Mercado,2026-08-18,Construcción de plantilla,2026-2027,canonical-existing,False,False,mercado-2026-27,2089846747266707587,https://x.com/ScarFace2824/status/2089846747266707587,/images/articles/cerrar-el-mercado/legacy-1.jpg
fichar-en-2026-inflacion-y-precios-reales,Fichar en 2026: inflación y precios reales,2026-07-01,Planificación,2026-2027,visual-transcription,False,True,,2072388962727985325,https://x.com/ScarFace2824/status/2072388962727985325,/images/articles/fichar-en-2026-inflacion-y-precios-reales/legacy-2.jpg
por-que-adeyemi-no-me-convence-para-el-barca,Por qué Adeyemi no me convence para el Barça,2026-07-09,Perfiles,2026-2027,visual-transcription,False,True,,2075203994025136563,https://x.com/ScarFace2824/status/2075203994025136563,/images/articles/por-que-adeyemi-no-me-convence-para-el-barca/legacy-1.jpg
conclusiones-de-la-jornada-1,Conclusiones de la Jornada 1,2026-08-24,Partidos,2026-2027,visual-transcription,False,False,partidos-2026-27,2091797876384915479,https://x.com/ScarFace2824/status/2091797876384915479,/images/articles/conclusiones-de-la-jornada-1/legacy-1.jpg
mercado-ideal-si-se-queda-raphinha,Mercado ideal si se queda Raphinha,2026-05-02,Planificación,2026-2027,assembled-from-x-thread,True,False,mercado-2026-27,2050602526232174649|2050602528828428794|2050602532376887726|2050602539561750677|2050602546704621975|2050602552551494134|2050602555550376437|2050602561237893323|2050602564194873491|2050602566711447840|2050602571950178638|2050602578828775931|2050602585736851617|2050602592636408028|2050602596105085101|2050602601922650585|2050602609740841397|2050602617227628979|2050602620721541325|2050602626601910773|2050602634633965895|2050602637494460854|2050602640300556758|2050602642909409789|2050602713885364639|2050741791171752196,https://x.com/ScarFace2824/status/2050602526232174649|https://x.com/ScarFace2824/status/2050602528828428794|https://x.com/ScarFace2824/status/2050602532376887726|https://x.com/ScarFace2824/status/2050602539561750677|https://x.com/ScarFace2824/status/2050602546704621975|https://x.com/ScarFace2824/status/2050602552551494134|https://x.com/ScarFace2824/status/2050602555550376437|https://x.com/ScarFace2824/status/2050602561237893323|https://x.com/ScarFace2824/status/2050602564194873491|https://x.com/ScarFace2824/status/2050602566711447840|https://x.com/ScarFace2824/status/2050602571950178638|https://x.com/ScarFace2824/status/2050602578828775931|https://x.com/ScarFace2824/status/2050602585736851617|https://x.com/ScarFace2824/status/2050602592636408028|https://x.com/ScarFace2824/status/2050602596105085101|https://x.com/ScarFace2824/status/2050602601922650585|https://x.com/ScarFace2824/status/2050602609740841397|https://x.com/ScarFace2824/status/2050602617227628979|https://x.com/ScarFace2824/status/2050602620721541325|https://x.com/ScarFace2824/status/2050602626601910773|https://x.com/ScarFace2824/status/2050602634633965895|https://x.com/ScarFace2824/status/2050602637494460854|https://x.com/ScarFace2824/status/2050602640300556758|https://x.com/ScarFace2824/status/2050602642909409789|https://x.com/ScarFace2824/status/2050602713885364639|https://x.com/ScarFace2824/status/2050741791171752196,/images/articles/mercado-ideal-si-se-queda-raphinha/legacy-1.jpg
