id,created_at,text,is_reply,reply_to_user,reply_to_status,is_retweet,favorite_count,retweet_count,lang,root_id,media_count,source_url,editorial_status,article_slugs
2102688303262695690,2026-09-23 09:15:32+00:00,@dembelismo99_ Que obsesión con la champions...,True,dembelismo99_,2102544267554005367,False,0,0,es,2102688303262695690,0,https://x.com/ScarFace2824/status/2102688303262695690,reply-archive,
2102661616198181305,2026-09-23 07:29:29+00:00,"@DiegoDav07 Valverde es el entrenador que más daño le ha hecho al Barça, juego racano de 442, días de fiesta, entrenos de 30 minutos, poca intensidad, frase como el dinero en el campo cuando se pudo vender a Rakitic.. Luego se reflejó en humillaciones en Champions y lo que costó recuperarse",True,DiegoDav07,2102571834596094331,False,10,0,es,2102661616198181305,0,https://x.com/ScarFace2824/status/2102661616198181305,reply-archive,
2102659142867357768,2026-09-23 07:19:39+00:00,@alexmasdeu_ Valverde suspen i Xavi bona nota,True,alexmasdeu_,2102489473669882218,False,0,0,es,2102659142867357768,0,https://x.com/ScarFace2824/status/2102659142867357768,reply-archive,
2102357001300824161,2026-09-22 11:19:03+00:00,@Somhiseremfcb Para que quiere Lamine el trofeo Marca?,True,Somhiseremfcb,2102356011625697460,False,7,0,es,2102357001300824161,0,https://x.com/ScarFace2824/status/2102357001300824161,reply-archive,
2101802963878744532,2026-09-20 22:37:30+00:00,"@ShadowMonarch23 El único Neymar comparable a Lamine era el del PSG, donde cada jugada pasaba por él, aquí nunca fue eso. El legado de Ronaldinho está a otro nivel, lo de Raphinha es de rendimiento. El efecto Ronaldinho lo ha traido Flick. 
Ronaldinho &gt; Raphinha &gt; Neymar",True,ShadowMonarch23,2101604500008047086,False,0,0,es,2101802963878744532,0,https://x.com/ScarFace2824/status/2101802963878744532,reply-archive,
2101755081297207616,2026-09-20 19:27:14+00:00,"@elchiringuitotv No entiendo, tiene que salir llorando porque ha perdido el Madrid? Claro, es a lo que estamos acostumbrados...",True,elchiringuitotv,2101726528249675806,False,0,0,es,2101755081297207616,0,https://x.com/ScarFace2824/status/2101755081297207616,reply-archive,
2101684990224314805,2026-09-20 14:48:43+00:00,@Somhiseremfcb Casi mejor?,True,Somhiseremfcb,2101618106397298995,False,0,0,es,2101684990224314805,0,https://x.com/ScarFace2824/status/2101684990224314805,reply-archive,
2101606290631852355,2026-09-20 09:36:00+00:00,"@ShadowMonarch23 Lo que hay que oir, los fifitas confundiendo 5 skills con más regate y mayor calidad técnica",True,ShadowMonarch23,2101605334926127349,False,1053,6,es,2101606290631852355,0,https://x.com/ScarFace2824/status/2101606290631852355,reply-archive,
2101574072790347974,2026-09-20 07:27:58+00:00,"@ShadowMonarch23 Descanso y premio a Cancelo por su partido, Espart lo llevaba jugando todo.",True,ShadowMonarch23,2101556441072943403,False,934,0,es,2101574072790347974,0,https://x.com/ScarFace2824/status/2101574072790347974,reply-archive,
2101370161055797250,2026-09-19 17:57:42+00:00,"@ShadowMonarch23 Infravalorado Bastoni, solo hay que ver su partido contra el Madrid para darse cuenta lo que nos aportaria al juego, dicho esto, entiendo que se pueda buscar otro perfil pero sabiendo de antemano que un Lukeba también va a tener cagadas como Koundé o Gerard Martin",True,ShadowMonarch23,2101357892456567195,False,1,0,es,2101370161055797250,0,https://x.com/ScarFace2824/status/2101370161055797250,reply-archive,
2101005637035397487,2026-09-18 17:49:13+00:00,@Padremany1 Cuando se retire Messi,True,Padremany1,2100999731878994048,False,0,0,es,2101005637035397487,0,https://x.com/ScarFace2824/status/2101005637035397487,reply-archive,
2100565681716469886,2026-09-17 12:40:59+00:00,@cullera5 Ayer jugó el polaco para darle los últimos minutos aprovechando que ya ibas ganando 4-1 y eran solo 45 minutos. Y para no arriesgar con la lluvia a Livakovic después de como se había lesionado Joan.,True,cullera5,2100507177379148016,False,19,0,es,2100565681716469886,0,https://x.com/ScarFace2824/status/2100565681716469886,reply-archive,
2100565221525864785,2026-09-17 12:39:10+00:00,@LuisCondoMaman1 @Somhiseremfcb @joaquimpiera Raphinha se ha lesioando las dos últimas veces que ha sido convocado con la selección,True,LuisCondoMaman1,2100548893754769891,False,32,0,es,2100565221525864785,0,https://x.com/ScarFace2824/status/2100565221525864785,reply-archive,
2100564894537888049,2026-09-17 12:37:52+00:00,"@RiquiSalmon11 Partido de prueba para Livakovic y a recuperarse durante el parón, sin dramas",True,RiquiSalmon11,2100561684926484692,False,2,0,es,2100564894537888049,0,https://x.com/ScarFace2824/status/2100564894537888049,reply-archive,
2100542494614151452,2026-09-17 11:08:51+00:00,@Somhiseremfcb Feo,True,Somhiseremfcb,2100541202818871716,False,0,0,und,2100542494614151452,0,https://x.com/ScarFace2824/status/2100542494614151452,reply-archive,
2100542423206158591,2026-09-17 11:08:34+00:00,@Somhiseremfcb @joaquimpiera Que actue como capitán y no vaya,True,Somhiseremfcb,2100540788849377609,False,293,0,es,2100542423206158591,0,https://x.com/ScarFace2824/status/2100542423206158591,reply-archive,
2100510984938942729,2026-09-17 09:03:39+00:00,@Blayasensat Espero una mención a la exhibición de Eric,True,Blayasensat,2100505675663015957,False,0,0,es,2100510984938942729,0,https://x.com/ScarFace2824/status/2100510984938942729,reply-archive,
2100504050240221346,2026-09-17 08:36:05+00:00,"@dembelismo99_ Exhibición la de hoy de Eric, no se que partido has visto",True,dembelismo99_,2100315388781207829,False,0,0,es,2100504050240221346,0,https://x.com/ScarFace2824/status/2100504050240221346,reply-archive,
2100495577440022722,2026-09-17 08:02:25+00:00,@ShadowMonarch23 Con la exhibición que ha hecho hoy Eric en el lateral y lo quereis de suplente,True,ShadowMonarch23,2100483552596971835,False,1,0,es,2100495577440022722,0,https://x.com/ScarFace2824/status/2100495577440022722,reply-archive,
2100345804690993545,2026-09-16 22:07:17+00:00,@dembelismo99_ Nadie ha visto el partidazo de Eric,True,dembelismo99_,2100336293292949825,False,0,0,es,2100345804690993545,0,https://x.com/ScarFace2824/status/2100345804690993545,reply-archive,
2100345484074185166,2026-09-16 22:06:00+00:00,@FolagoR Lo que va a ser la revancha en el ocre,True,FolagoR,2100315019103568054,False,0,0,es,2100345484074185166,0,https://x.com/ScarFace2824/status/2100345484074185166,reply-archive,
2100345358035390621,2026-09-16 22:05:30+00:00,@GradaBpro A ver que lo dice cuando marca 9 goles en un partido,True,GradaBpro,2099906088128667768,False,0,0,es,2100345358035390621,0,https://x.com/ScarFace2824/status/2100345358035390621,reply-archive,
2100344220938571973,2026-09-16 22:00:59+00:00,@BlxckNews Muy facil aprovechas un partido ganado que solo van a ser 45 min para darle los últimos minutos al portero que nos hizo el favor de salir del retiro cuando teniamos una urgencia.,True,BlxckNews,2100329770953093312,False,5,0,es,2100344220938571973,0,https://x.com/ScarFace2824/status/2100344220938571973,reply-archive,
2100330433594462429,2026-09-16 21:06:12+00:00,@Padremany1 Mucho peor lo de Cancelo en el primer gol,True,Padremany1,2100329945088000117,False,0,0,es,2100330433594462429,0,https://x.com/ScarFace2824/status/2100330433594462429,reply-archive,
2100325767603478960,2026-09-16 20:47:39+00:00,@Padremany1 Le dejan los ultimos minutos al fumador,True,Padremany1,2100324445919600867,False,0,0,es,2100325767603478960,0,https://x.com/ScarFace2824/status/2100325767603478960,reply-archive,
2100323843436851400,2026-09-16 20:40:01+00:00,@ShadowMonarch23 Era para Raphinha,True,ShadowMonarch23,2100322875395731649,False,0,0,pt,2100323843436851400,0,https://x.com/ScarFace2824/status/2100323843436851400,reply-archive,
2100176804099076560,2026-09-16 10:55:44+00:00,@Somhiseremfcb No hay nadie igual,True,Somhiseremfcb,2100176045152313763,False,2,0,es,2100176804099076560,0,https://x.com/ScarFace2824/status/2100176804099076560,reply-archive,
2098863955552936262,2026-09-12 19:58:56+00:00,@Somhiseremfcb Puedes sacar videos así de Lamine. No seamos así.,True,Somhiseremfcb,2098857896750506151,False,24,0,es,2098863955552936262,0,https://x.com/ScarFace2824/status/2098863955552936262,reply-archive,
2098742650480292348,2026-09-12 11:56:55+00:00,"@Blayasensat Puede que Flick y el equipo hayan caído en el relato... 
Para mi el modelo a seguir es la Premier, donde le dan más valor a ganar la Liga que la Champions. Por la dificultad de ser el mejor durante 38 jornadas. Prefiero ganar 10 ligas seguidas a 1 champions.",True,Blayasensat,2098740397413450198,False,3,0,es,2098742650480292348,0,https://x.com/ScarFace2824/status/2098742650480292348,reply-archive,
2098499447168606664,2026-09-11 19:50:31+00:00,"@manusantacruz86 @MaestroMelena Jugando a defender en un 442 teniendo a Messi, eso hacía Valverde.",True,manusantacruz86,2098498435985117632,False,0,0,es,2098499447168606664,0,https://x.com/ScarFace2824/status/2098499447168606664,reply-archive,
2098497276003897711,2026-09-11 19:41:53+00:00,"@manusantacruz86 @MaestroMelena Lo mismo con Luis Enrique y mira lo que hizo en su primer año. Valverde simplemente dejó que hicieran lo que querían y así acabamos, en un 2-8 que la gente le echará la culpa a Setién cuando no llevaba ni media temporada con parón por Covid",True,manusantacruz86,2098495451808817302,False,0,0,es,2098497276003897711,0,https://x.com/ScarFace2824/status/2098497276003897711,reply-archive,
